company,date,headline,review,name,url,ratingValue
www.onecallinsurance.co.uk,2024-01-23T22:00:32.000Z,KR2 pleasant sales agent,spoke to KR2 who was very pleasant and talked me through my renewal advise. she helped me streamline my insurance requirements and I was happy - based on her advise to remain with one call . my intentions was to cancel and accept a cheaper quote but KR2 is very good at selling her companies product. she could probably sell sand to the Arabs. well pleased with my experience today,Brian Cullen,https://uk.trustpilot.com/users/65b01ad125ce3b0012fb35a7/,5
www.onecallinsurance.co.uk,2024-01-24T12:35:12.000Z,Disgraceful,"Live chat agent promised me a refund of cxl charge if I remained with them rather than move. Have tried over several months and finally get an email saying this isn’t possible. Absolutely terrible service when speaking to agents who promised to get this sorted. One even asked me to email her directly and I’ve since been told has gone travelling! So knowing nothing would happen, she asked for these details and left! Will be moving my home insurance policy as well this year based on such an awful experience! I would make a formal complaint but I honestly don’t believe they even have a complaint process let alone anyone doing anything about it!",Steven Stroff,https://uk.trustpilot.com/users/5bdb0c8a4de5666d34d5a2f9/,1
www.onecallinsurance.co.uk,2024-01-24T15:05:02.000Z,Excellent service from Holly,Excellent service from Holly. Understanding and sympathetic.I rang as my renewal notice was asking for virtually 100% increase on my current premium.After some tweaks and the fact I’m doing fewer miles annually we managed to agree on ‘only’ around a 50% increase.Still think it’s outrageous but unfortunately we have to live with these crazy price hikes. Thanks One Call. I’ll be coming back for quotes for my wife’s car and the house.,James Round,https://uk.trustpilot.com/users/56ab89b90000ff000a01117e/,4
www.onecallinsurance.co.uk,2024-01-22T15:55:13.000Z,Received my renewal review documents…,Received my renewal review documents which was around 35% higher than last year. Contacted one call by telephone and spoke to advisor who was extremely helpful and friendly. After going through my information to see if any changes advisor managed to reduce my quote so that it was more competitive. So have renewed once again with One Call.Great service from advisor,Mr. kem,https://uk.trustpilot.com/users/508b0a1600006400012533f8/,5
www.onecallinsurance.co.uk,2024-01-23T15:55:39.000Z,I rang One Call office yesterday as my…,I rang One Call office yesterday as my House Insurance was due to be renewed.My call was answered by a polite and helpful young lady (DJ2) who went through several questions and then she offered a price to renew my buildings/contents home insurance at a greatly reduced price to others competitors.My grateful thanks to Debbie.,Gloria Dunn,https://uk.trustpilot.com/users/65ae663b316d31001203700d/,4
www.onecallinsurance.co.uk,2024-01-24T15:13:21.000Z,Changed my mind,"I was all set to cancel my renewal but talked to SK3 who was extremely helpful. She answered all my questions, helped me compare like for like quotes and provided me with a detailed overview of my insurance cover. I was able to make an informed decision and ended up renewing, much to my surprise! Really pleased with the outcome.",Darren,https://uk.trustpilot.com/users/5de0318cebb7465f1eff5fd6/,5
www.onecallinsurance.co.uk,2024-01-23T20:10:52.000Z,One Call did it all.😊,One Call did it all.. after receiving my renewal at almost double last year‘s policy price.Armed with a quote from another insurer (slightly cheaper) I called and spoke to David in the renewal department. He went through my policy with me & I’ve ended up with platinum Cover and saved £140. Thanks again David😊,Che Ward,https://uk.trustpilot.com/users/65b00126fa140400129e0276/,5
www.onecallinsurance.co.uk,2024-01-22T21:03:15.000Z,Received my renewal review documents…,Received my renewal review documents which was around 30% higher than last year. Contacted one call by telephone and spoke to ET3 who was extremely helpful and friendly and explained in detail . After going through my information to see if any changes had been made ET3 managed to reduce my quote so that it was more competitive to what i had been quoted on compare .com. So i have now renewed once again with One Call.Excellent service from ET3 .Thank you for all your help,Mr Allister Thorburn,https://uk.trustpilot.com/users/60e1d2fda0d43600127a8070/,5
www.onecallinsurance.co.uk,2024-01-22T17:36:31.000Z,I rang up today with the intention to…,"I rang up today with the intention to request for my no claim bonus, but i ended up renewing my policy. All thanks to the customer service attendant who did everything possible to make my experience worthwhile, to start off, my telephone network was bad, she rang me back and told me the offers available. I am very happy with the way she dealt with my concern. i can't remember her name but i think she uses the SS9 code if I'm right. thank you for your help today.",Hanny,https://uk.trustpilot.com/users/65ae8b6bf8c2570012698829/,5
www.onecallinsurance.co.uk,2024-01-22T19:09:27.000Z,Renewed my car insurance today with LE6…,"Renewed my car insurance today with LE6 at One Call. She was so helpful, supportive and friendly. She found competitive prices for each of my options and gave sound suggestions regarding my future driving and updating policies. Thank you so much 😊",Julia Birtles,https://uk.trustpilot.com/users/65aea139f8c257001269971d/,5
